"variable","value","geoid","geotype"
"pop1","57718","BX0101","NTA2020"
"pop1","42651","BX0102","NTA2020"
"pop1","15131","BX0201","NTA2020"
"pop1","40289","BX0202","NTA2020"
"pop1","0","BX0291","NTA2020"
"pop1","37607","BX0301","NTA2020"
"pop1","24553","BX0302","NTA2020"
"pop1","30158","BX0303","NTA2020"
"pop1","34","BX0391","NTA2020"
"pop1","69387","BX0401","NTA2020"
"pop1","32456","BX0402","NTA2020"
"pop1","49651","BX0403","NTA2020"
"pop1","19","BX0491","NTA2020"
"pop1","10","BX0492","NTA2020"
"pop1","54682","BX0501","NTA2020"
"pop1","49099","BX0502","NTA2020"
"pop1","32099","BX0503","NTA2020"
"pop1","20147","BX0601","NTA2020"
"pop1","32150","BX0602","NTA2020"
"pop1","35825","BX0603","NTA2020"
"pop1","46538","BX0701","NTA2020"
"pop1","55521","BX0702","NTA2020"
"pop1","43466","BX0703","NTA2020"
"pop1","35777","BX0801","NTA2020"
"pop1","22807","BX0802","NTA2020"
"pop1","47927","BX0803","NTA2020"
"pop1","74342","BX0901","NTA2020"
"pop1","37297","BX0902","NTA2020"
"pop1","41420","BX0903","NTA2020"
"pop1","33602","BX0904","NTA2020"
"pop1","6","BX0991","NTA2020"
"pop1","17376","BX1001","NTA2020"
"pop1","48116","BX1002","NTA2020"
"pop1","29462","BX1003","NTA2020"
"pop1","37369","BX1004","NTA2020"
"pop1","0","BX1071","NTA2020"
"pop1","0","BX1091","NTA2020"
"pop1","32425","BX1101","NTA2020"
"pop1","25077","BX1102","NTA2020"
"pop1","29402","BX1103","NTA2020"
"pop1","34623","BX1104","NTA2020"
"pop1","297","BX1161","NTA2020"
"pop1","61346","BX1201","NTA2020"
"pop1","51736","BX1202","NTA2020"
"pop1","47657","BX1203","NTA2020"
"pop1","2","BX1271","NTA2020"
"pop1","122","BX2691","NTA2020"
"pop1","69","BX2791","NTA2020"
"pop1","28","BX2891","NTA2020"
"pop1","3772","QN0151","NTA2020"
"pop1","38980","BK0101","NTA2020"
"pop1","64444","BK0102","NTA2020"
"pop1","47703","BK0103","NTA2020"
"pop1","52998","BK0104","NTA2020"
"pop1","25092","BK0201","NTA2020"
"pop1","40968","BK0202","NTA2020"
"pop1","32938","BK0203","NTA2020"
"pop1","28647","BK0204","NTA2020"
"pop1","5","BK0261","NTA2020"
"pop1","89189","BK0301","NTA2020"
"pop1","84653","BK0302","NTA2020"
"pop1","58692","BK0401","NTA2020"
"pop1","62049","BK0402","NTA2020"
"pop1","6","BK0471","NTA2020"
"pop1","43256","BK0501","NTA2020"
"pop1","42818","BK0502","NTA2020"
"pop1","53004","BK0503","NTA2020"
"pop1","17038","BK0504","NTA2020"
"pop1","45559","BK0505","NTA2020"
"pop1","7","BK0571","NTA2020"
"pop1","59166","BK0601","NTA2020"
"pop1","57405","BK0602","NTA2020"
"pop1","23622","BK0701","NTA2020"
"pop1","54473","BK0702","NTA2020"
"pop1","55606","BK0703","NTA2020"
"pop1","5","BK0771","NTA2020"
"pop1","23515","BK0801","NTA2020"
"pop1","85275","BK0802","NTA2020"
"pop1","15","BK0891","NTA2020"
"pop1","50590","BK0901","NTA2020"
"pop1","49513","BK0902","NTA2020"
"pop1","86779","BK1001","NTA2020"
"pop1","46756","BK1002","NTA2020"
"pop1","775","BK1061","NTA2020"
"pop1","9","BK1091","NTA2020"
"pop1","104934","BK1101","NTA2020"
"pop1","33070","BK1102","NTA2020"
"pop1","60523","BK1103","NTA2020"
"pop1","35632","BK1201","NTA2020"
"pop1","93905","BK1202","NTA2020"
"pop1","41758","BK1203","NTA2020"
"pop1","39137","BK1204","NTA2020"
"pop1","30366","BK1301","NTA2020"
"pop1","49517","BK1302","NTA2020"
"pop1","33568","BK1303","NTA2020"
"pop1","0","BK1391","NTA2020"
"pop1","66503","BK1401","NTA2020"
"pop1","43016","BK1402","NTA2020"
"pop1","52891","BK1403","NTA2020"
"pop1","52797","BK1501","NTA2020"
"pop1","41465","BK1502","NTA2020"
"pop1","69084","BK1503","NTA2020"
"pop1","37952","BK1601","NTA2020"
"pop1","60470","BK1602","NTA2020"
"pop1","47690","BK1701","NTA2020"
"pop1","34317","BK1702","NTA2020"
"pop1","42762","BK1703","NTA2020"
"pop1","39115","BK1704","NTA2020"
"pop1","32","BK1771","NTA2020"
"pop1","67087","BK1801","NTA2020"
"pop1","46955","BK1802","NTA2020"
"pop1","89932","BK1803","NTA2020"
"pop1","1","BK1891","NTA2020"
"pop1","4","BK1892","NTA2020"
"pop1","5","BK1893","NTA2020"
"pop1","15","BK5591","NTA2020"
"pop1","21","BK5691","NTA2020"
"pop1","0","BK5692","NTA2020"
"pop1","0","BK5693","NTA2020"
"pop1","52992","MN0101","NTA2020"
"pop1","25390","MN0102","NTA2020"
"pop1","8","MN0191","NTA2020"
"pop1","23287","MN0201","NTA2020"
"pop1","34147","MN0202","NTA2020"
"pop1","35011","MN0203","NTA2020"
"pop1","42556","MN0301","NTA2020"
"pop1","49149","MN0302","NTA2020"
"pop1","71436","MN0303","NTA2020"
"pop1","69741","MN0401","NTA2020"
"pop1","59524","MN0402","NTA2020"
"pop1","33214","MN0501","NTA2020"
"pop1","25575","MN0502","NTA2020"
"pop1","22512","MN0601","NTA2020"
"pop1","28628","MN0602","NTA2020"
"pop1","63520","MN0603","NTA2020"
"pop1","45765","MN0604","NTA2020"
"pop1","0","MN0661","NTA2020"
"pop1","70697","MN0701","NTA2020"
"pop1","101767","MN0702","NTA2020"
